CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
196    4      1   68 68:68:68:8        yes 2450.0000 1500.0000 2450.000
197    4      1   69 69:69:69:8        yes 2450.0000 1500.0000 2450.000
198    4      1   70 70:70:70:8        yes 2450.0000 1500.0000 2450.000
199    4      1   71 71:71:71:8        yes 2450.0000 1500.0000 2450.000
200    4      1   72 72:72:72:9        yes 2450.0000 1500.0000 2450.000
201    4      1   73 73:73:73:9        yes 2450.0000 1500.0000 2450.000
202    4      1   74 74:74:74:9        yes 2450.0000 1500.0000 2450.000
203    4      1   75 75:75:75:9        yes 2450.0000 1500.0000 2450.000
204    4      1   76 76:76:76:9        yes 2450.0000 1500.0000 2450.000
205    4      1   77 77:77:77:9        yes 2450.0000 1500.0000 2450.000
206    4      1   78 78:78:78:9        yes 2450.0000 1500.0000 2450.000
207    4      1   79 79:79:79:9        yes 2450.0000 1500.0000 2450.000
208    5      1   80 80:80:80:10       yes 2450.0000 1500.0000 2450.000
209    5      1   81 81:81:81:10       yes 2450.0000 1500.0000 2450.000
210    5      1   82 82:82:82:10       yes 2450.0000 1500.0000 2450.000
211    5      1   83 83:83:83:10       yes 2450.0000 1500.0000 2450.000
212    5      1   84 84:84:84:10       yes 2450.0000 1500.0000 2450.000
213    5      1   85 85:85:85:10       yes 2450.0000 1500.0000 2450.000
214    5      1   86 86:86:86:10       yes 2450.0000 1500.0000 2450.000
215    5      1   87 87:87:87:10       yes 2450.0000 1500.0000 2450.000
216    5      1   88 88:88:88:11       yes 2450.0000 1500.0000 2450.000
217    5      1   89 89:89:89:11       yes 2450.0000 1500.0000 2450.000
218    5      1   90 90:90:90:11       yes 2450.0000 1500.0000 2450.000
219    5      1   91 91:91:91:11       yes 2450.0000 1500.0000 2450.000
220    5      1   92 92:92:92:11       yes 2450.0000 1500.0000 2450.000
221    5      1   93 93:93:93:11       yes 2450.0000 1500.0000 2450.000
222    5      1   94 94:94:94:11       yes 2450.0000 1500.0000 2450.000
223    5      1   95 95:95:95:11       yes 2450.0000 1500.0000 2450.000
224    6      1   96 96:96:96:12       yes 2450.0000 1500.0000 2450.000
225    6      1   97 97:97:97:12       yes 2450.0000 1500.0000 2450.000
226    6      1   98 98:98:98:12       yes 2450.0000 1500.0000 2450.000
227    6      1   99 99:99:99:12       yes 2450.0000 1500.0000 2450.000
228    6      1  100 100:100:100:12    yes 2450.0000 1500.0000 2450.000
229    6      1  101 101:101:101:12    yes 2450.0000 1500.0000 2450.000
230    6      1  102 102:102:102:12    yes 2450.0000 1500.0000 2450.000
231    6      1  103 103:103:103:12    yes 2450.0000 1500.0000 2450.000
232    6      1  104 104:104:104:13    yes 2450.0000 1500.0000 2450.000
233    6      1  105 105:105:105:13    yes 2450.0000 1500.0000 2450.000
234    6      1  106 106:106:106:13    yes 2450.0000 1500.0000 2450.000
235    6      1  107 107:107:107:13    yes 2450.0000 1500.0000 2450.000
236    6      1  108 108:108:108:13    yes 2450.0000 1500.0000 2450.000
237    6      1  109 109:109:109:13    yes 2450.0000 1500.0000 2450.000
238    6      1  110 110:110:110:13    yes 2450.0000 1500.0000 2450.000
239    6      1  111 111:111:111:13    yes 2450.0000 1500.0000 2450.000
240    7      1  112 112:112:112:14    yes 2450.0000 1500.0000 2450.000
241    7      1  113 113:113:113:14    yes 2450.0000 1500.0000 2450.000
242    7      1  114 114:114:114:14    yes 2450.0000 1500.0000 2450.000
243    7      1  115 115:115:115:14    yes 2450.0000 1500.0000 2450.000
244    7      1  116 116:116:116:14    yes 2450.0000 1500.0000 2450.000
245    7      1  117 117:117:117:14    yes 2450.0000 1500.0000 2450.000
246    7      1  118 118:118:118:14    yes 2450.0000 1500.0000 2450.000
247    7      1  119 119:119:119:14    yes 2450.0000 1500.0000 2450.000
248    7      1  120 120:120:120:15    yes 2450.0000 1500.0000 2450.000
249    7      1  121 121:121:121:15    yes 2450.0000 1500.0000 2450.000
250    7      1  122 122:122:122:15    yes 2450.0000 1500.0000 2450.000
251    7      1  123 123:123:123:15    yes 2450.0000 1500.0000 2450.000
252    7      1  124 124:124:124:15    yes 2450.0000 1500.0000 2450.000
253    7      1  125 125:125:125:15    yes 2450.0000 1500.0000 2450.000
254    7      1  126 126:126:126:15    yes 2450.0000 1500.0000 2450.000
255    7      1  127 127:127:127:15    yes 2450.0000 1500.0000 2450.000
