CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
117    1      1  117 117:117:117:14    yes 2000.0000 1500.0000 2395.147
118    1      1  118 118:118:118:14    yes 2000.0000 1500.0000 2395.004
119    1      1  119 119:119:119:14    yes 2000.0000 1500.0000 2000.000
120    1      1  120 120:120:120:15    yes 2000.0000 1500.0000 2475.196
121    1      1  121 121:121:121:15    yes 2000.0000 1500.0000 2000.000
122    1      1  122 122:122:122:15    yes 2000.0000 1500.0000 2474.709
123    1      1  123 123:123:123:15    yes 2000.0000 1500.0000 2475.216
124    1      1  124 124:124:124:15    yes 2000.0000 1500.0000 2475.226
125    1      1  125 125:125:125:15    yes 2000.0000 1500.0000 2475.209
126    1      1  126 126:126:126:15    yes 2000.0000 1500.0000 2474.520
127    1      1  127 127:127:127:15    yes 2000.0000 1500.0000 3094.150
128    0      0    0 0:0:0:0           yes 2000.0000 1500.0000 2000.000
129    0      0    1 1:1:1:0           yes 2000.0000 1500.0000 2383.867
130    0      0    2 2:2:2:0           yes 2000.0000 1500.0000 2388.432
131    0      0    3 3:3:3:0           yes 2000.0000 1500.0000 2387.416
132    0      0    4 4:4:4:0           yes 2000.0000 1500.0000 2395.558
133    0      0    5 5:5:5:0           yes 2000.0000 1500.0000 2395.404
134    0      0    6 6:6:6:0           yes 2000.0000 1500.0000 2388.393
135    0      0    7 7:7:7:0           yes 2000.0000 1500.0000 2000.000
136    0      0    8 8:8:8:1           yes 2000.0000 1500.0000 2394.116
137    0      0    9 9:9:9:1           yes 2000.0000 1500.0000 2393.669
138    0      0   10 10:10:10:1        yes 2000.0000 1500.0000 2393.710
139    0      0   11 11:11:11:1        yes 2000.0000 1500.0000 2000.000
140    0      0   12 12:12:12:1        yes 2000.0000 1500.0000 2393.341
141    0      0   13 13:13:13:1        yes 2000.0000 1500.0000 2393.559
142    0      0   14 14:14:14:1        yes 2000.0000 1500.0000 2000.000
143    0      0   15 15:15:15:1        yes 2000.0000 1500.0000 2393.838
144    0      0   16 16:16:16:2        yes 2000.0000 1500.0000 2371.576
145    0      0   17 17:17:17:2        yes 2000.0000 1500.0000 2382.283
146    0      0   18 18:18:18:2        yes 2000.0000 1500.0000 2395.557
147    0      0   19 19:19:19:2        yes 2000.0000 1500.0000 2385.283
148    0      0   20 20:20:20:2        yes 2000.0000 1500.0000 2000.000
149    0      0   21 21:21:21:2        yes 2000.0000 1500.0000 2000.000
150    0      0   22 22:22:22:2        yes 2000.0000 1500.0000 2000.000
151    0      0   23 23:23:23:2        yes 2000.0000 1500.0000 2380.564
152    0      0   24 24:24:24:3        yes 2000.0000 1500.0000 2399.132
153    0      0   25 25:25:25:3        yes 2000.0000 1500.0000 2000.000
154    0      0   26 26:26:26:3        yes 2000.0000 1500.0000 2000.000
155    0      0   27 27:27:27:3        yes 2000.0000 1500.0000 2406.583
156    0      0   28 28:28:28:3        yes 2000.0000 1500.0000 2000.000
157    0      0   29 29:29:29:3        yes 2000.0000 1500.0000 2394.958
158    0      0   30 30:30:30:3        yes 2000.0000 1500.0000 2000.000
159    0      0   31 31:31:31:3        yes 2000.0000 1500.0000 2000.000
160    0      0   32 32:32:32:4        yes 2000.0000 1500.0000 2000.000
161    0      0   33 33:33:33:4        yes 2000.0000 1500.0000 2000.000
162    0      0   34 34:34:34:4        yes 2000.0000 1500.0000 2000.000
163    0      0   35 35:35:35:4        yes 2000.0000 1500.0000 2000.000
164    0      0   36 36:36:36:4        yes 2000.0000 1500.0000 2000.000
165    0      0   37 37:37:37:4        yes 2000.0000 1500.0000 2000.000
166    0      0   38 38:38:38:4        yes 2000.0000 1500.0000 2000.000
167    0      0   39 39:39:39:4        yes 2000.0000 1500.0000 2000.000
168    0      0   40 40:40:40:5        yes 2000.0000 1500.0000 2000.000
169    0      0   41 41:41:41:5        yes 2000.0000 1500.0000 2000.000
170    0      0   42 42:42:42:5        yes 2000.0000 1500.0000 2425.473
171    0      0   43 43:43:43:5        yes 2000.0000 1500.0000 2000.000
172    0      0   44 44:44:44:5        yes 2000.0000 1500.0000 2451.099
173    0      0   45 45:45:45:5        yes 2000.0000 1500.0000 3094.052
