CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
211   10      1   83 83:83:83:10       yes 3762.9880 1500.0000 2300.000
212   10      1   84 84:84:84:10       yes 3762.9880 1500.0000 2300.000
213   10      1   85 85:85:85:10       yes 3762.9880 1500.0000 2300.000
214   10      1   86 86:86:86:10       yes 3762.9880 1500.0000 2300.000
215   10      1   87 87:87:87:10       yes 3762.9880 1500.0000 2300.000
216   11      1   88 112:112:112:14    yes 3762.9880 1500.0000 2300.000
217   11      1   89 113:113:113:14    yes 3762.9880 1500.0000 2300.000
218   11      1   90 114:114:114:14    yes 3762.9880 1500.0000 2300.000
219   11      1   91 115:115:115:14    yes 3762.9880 1500.0000 2300.000
220   11      1   92 116:116:116:14    yes 3762.9880 1500.0000 2300.000
221   11      1   93 117:117:117:14    yes 3762.9880 1500.0000 2300.000
222   11      1   94 118:118:118:14    yes 3762.9880 1500.0000 2300.000
223   11      1   95 119:119:119:14    yes 3762.9880 1500.0000 2300.000
224   12      1   96 88:88:88:11       yes 3762.9880 1500.0000 2300.000
225   12      1   97 89:89:89:11       yes 3762.9880 1500.0000 2300.000
226   12      1   98 90:90:90:11       yes 3762.9880 1500.0000 2300.000
227   12      1   99 91:91:91:11       yes 3762.9880 1500.0000 2300.000
228   12      1  100 92:92:92:11       yes 3762.9880 1500.0000 2300.000
229   12      1  101 93:93:93:11       yes 3762.9880 1500.0000 2300.000
230   12      1  102 94:94:94:11       yes 3762.9880 1500.0000 2300.000
231   12      1  103 95:95:95:11       yes 3762.9880 1500.0000 2300.000
232   13      1  104 120:120:120:15    yes 3762.9880 1500.0000 2300.000
233   13      1  105 121:121:121:15    yes 3762.9880 1500.0000 2300.000
234   13      1  106 122:122:122:15    yes 3762.9880 1500.0000 2300.000
235   13      1  107 123:123:123:15    yes 3762.9880 1500.0000 2300.000
236   13      1  108 124:124:124:15    yes 3762.9880 1500.0000 2300.000
237   13      1  109 125:125:125:15    yes 3762.9880 1500.0000 2300.000
238   13      1  110 126:126:126:15    yes 3762.9880 1500.0000 2300.000
239   13      1  111 127:127:127:15    yes 3762.9880 1500.0000 2300.000
240   14      1  112 72:72:72:9        yes 3762.9880 1500.0000 2300.000
